Movimiento,Jugador,Acción,Pieza,Pieza Index,Posición,Posición Index,Intento,Tablero
1,random_bot,selected,"LITTLE, WHITE, CIRCLE, WITH_HOLE",5,N/A,-1,1,
2,CNN_bot,placed,LWRH,5,"(0, 2)",2,1,0000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3,CNN_bot,selected,"TALL, WHITE, CIRCLE, WITHOUT_HOLE",12,N/A,-1,1,
4,random_bot,placed,TWRN,12,"(3, 0)",12,1,0000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000
5,random_bot,selected,"LITTLE, WHITE, SQUARE, WITH_HOLE",7,N/A,-1,1,
6,CNN_bot,placed,LWQH,7,"(2, 3)",11,2,0000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000
7,CNN_bot,selected,"LITTLE, WHITE, CIRCLE, WITHOUT_HOLE",4,N/A,-1,2,
8,random_bot,placed,LWRN,4,"(2, 0)",8,1,0000000000000000000000000000000000000000000000000000000000000000000000001000000000100000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000
9,random_bot,selected,"LITTLE, BLACK, SQUARE, WITH_HOLE",3,N/A,-1,1,
10,CNN_bot,placed,LKQH,3,"(0, 0)",0,3,0000000000000000000000000000000000000000000000001000000000000000000000001000000000100000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000
11,CNN_bot,selected,"TALL, WHITE, SQUARE, WITHOUT_HOLE",14,N/A,-1,3,
12,random_bot,placed,TWQN,14,"(1, 3)",7,1,0000000000000000000000000000000000000000000000001000000000000000000000001000000000100000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000001000000000000000000000000
13,random_bot,selected,"LITTLE, BLACK, CIRCLE, WITHOUT_HOLE",0,N/A,-1,1,
14,CNN_bot,placed,LKRN,0,"(1, 0)",4,3,0000100000000000000000000000000000000000000000001000000000000000000000001000000000100000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000001000000000000000000000000
15,CNN_bot,selected,"TALL, BLACK, SQUARE, WITHOUT_HOLE",10,N/A,-1,1,
16,random_bot,placed,TKQN,10,"(3, 2)",14,1,0000100000000000000000000000000000000000000000001000000000000000000000001000000000100000000000000000000000000000000000000001000000000000000000000000000000000000000000000000001000000000000000000000000000001000000000000000000000000001000000000000000000000000
17,random_bot,selected,"TALL, BLACK, CIRCLE, WITHOUT_HOLE",8,N/A,-1,1,
18,CNN_bot,placed,TKRN,8,"(1, 2)",6,5,0000100000000000000000000000000000000000000000001000000000000000000000001000000000100000000000000000000000000000000000000001000000000010000000000000000000000000000000000000001000000000000000000000000000001000000000000000000000000001000000000000000000000000
19,CNN_bot,selected,"LITTLE, BLACK, CIRCLE, WITH_HOLE",1,N/A,-1,5,
20,random_bot,placed,LKRH,1,"(0, 1)",1,1,0000100000000000010000000000000000000000000000001000000000000000000000001000000000100000000000000000000000000000000000000001000000000010000000000000000000000000000000000000001000000000000000000000000000001000000000000000000000000001000000000000000000000000
21,random_bot,selected,"TALL, BLACK, SQUARE, WITH_HOLE",11,N/A,-1,1,
22,CNN_bot,placed,TKQH,11,"(2, 1)",9,6,0000100000000000010000000000000000000000000000001000000000000000000000001000000000100000000000000000000000000000000000000001000000000010000000000000000000000000000000000000001000000000010000000000000000001000000000000000000000000001000000000000000000000000
23,CNN_bot,selected,"TALL, BLACK, CIRCLE, WITH_HOLE",9,N/A,-1,5,
24,random_bot,placed,TKRH,9,"(0, 3)",3,1,0000100000000000010000000000000000000000000000001000000000000000000000001000000000100000000000000000000000000000000000000001000000000010000000000001000000000000000000000000001000000000010000000000000000001000000000000000000000000001000000000000000000000000
